title,price,rate
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95,2
The Wright Brothers,£56.80,4
The Songs of the Gods,£44.48,5
The Rosie Project (Don Tillman #1),£54.04,1
The Power of Habit: Why We Do What We Do in Life and Business,£16.88,3
Steve Jobs,£39.50,5
Luckiest Girl Alive,£49.83,3
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",£46.91,4
Lady Midnight (The Dark Artifices #1),£16.28,5
"Hush, Hush (Hush, Hush #1)",£47.02,3
Greek Mythic History,£10.23,5
Every Last Word,£46.47,3
Daily Fantasy Sports,£36.58,1
Clockwork Angel (The Infernal Devices #1),£44.14,1
City of Fallen Angels (The Mortal Instruments #4),£11.23,4
City of Bones (The Mortal Instruments #1),£43.28,1
City of Ashes (The Mortal Instruments #2),£47.27,1
"Carry On, Warrior: Thoughts on Life Unarmed",£31.85,3
Carrie,£46.23,2
Angels & Demons (Robert Langdon #1),£51.48,3
"The Three Searches, Meaning, and the Story",£13.33,3
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,4
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,5
Eleanor & Park,£56.51,5
Troublemaker: Surviving Hollywood and Scientology,£48.39,2
Adultery,£20.88,5
Unlimited Intuition Now,£58.87,4
Underlying Notes,£11.82,2
The New Brand You: Your New Image Makes the Sale for You,£44.05,5
The Flowers Lied,£16.68,2
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",£10.41,4
Modern Day Fables,£47.44,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),£43.62,5
The Martian (The Martian #1),£41.39,2
Left Behind (Left Behind #1),£40.72,2
John Vassos: Industrial Design for Modern Life,£20.22,4
I'll Give You the Sun,£56.48,1
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,£52.86,2
Ender's Game (The Ender Quintet #1),£43.64,1
Death by Leisure: A Cautionary Tale,£37.51,4
Wildlife of New York: A Five-Borough Coloring Book,£22.14,2
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,£34.72,1
The Great Gatsby,£36.05,4
The Good Girl,£49.03,3
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,£33.17,4
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,£20.90,2
Life of Pi,£13.22,4
The Sound Of Love,£57.84,5
The Perks of Being a Wallflower,£55.02,3
The Makings of a Fatherless Child,£31.58,2
The Hobbit (Middle-Earth Universe),£17.80,5
The Fellowship of the Ring (The Lord of the Rings #1),£10.27,2
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,£30.60,3
Musicophilia: Tales of Music and the Brain,£46.58,1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,£53.68,4
The Fault in Our Stars,£47.22,1
The Dream Thieves (The Raven Cycle #2),£34.50,1
The 5th Wave (The 5th Wave #1),£11.83,2
Shiver (The Wolves of Mercy Falls #1),£16.23,5
Remember Me?,£11.48,3
If I Stay (If I Stay #1),£38.13,5
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),£36.55,2
Harry Potter and the Deathly Hallows (Harry Potter #7),£23.32,1
Fool Me Once,£16.96,1
Drama,£38.70,2
"Blue Lily, Lily Blue (The Raven Cycle #3)",£34.13,5
Alight (The Generations Trilogy #2),£58.59,4
Vogue Colors A to Z: A Fashion Coloring Book,£52.35,4
The Shining (The Shining #1),£27.88,3
The Hunger Games (The Hunger Games #1),£29.85,5
Outlander (Outlander #1),£19.67,5
Mockingjay (The Hunger Games #3),£20.44,4
Harry Potter and the Sorcerer's Stone (Harry Potter #1),£13.90,3
Confessions of a Shopaholic (Shopaholic #1),£48.94,2
Zero History (Blue Ant #3),£34.77,1
World War Z: An Oral History of the Zombie War,£21.80,1
Wild: From Lost to Found on the Pacific Crest Trail,£46.02,3
"Where'd You Go, Bernadette",£18.13,1
Twilight (Twilight #1),£41.93,2
The Paris Wife,£36.80,3
The Maze Runner (The Maze Runner #1),£20.93,1
The Lover's Dictionary,£58.09,2
The Goldfinch,£43.58,3
The Giver (The Giver Quartet #1),£12.30,1
The Girl Who Played with Fire (Millennium Trilogy #2),£22.14,2
The Demon-Haunted World: Science as a Candle in the Dark,£52.25,4
The Book Thief,£53.49,2
The Autobiography of Malcolm X,£23.43,2
Shopaholic & Baby (Shopaholic #5),£46.45,2
Quiet: The Power of Introverts in a World That Can't Stop Talking,£43.55,1
Packing for Mars: The Curious Science of Life in the Void,£56.68,2
Orange Is the New Black,£24.61,2
One for the Money (Stephanie Plum #1),£32.87,2
Morning Star (Red Rising #3),£29.40,1
Life After Life,£26.13,2
"Lean In: Women, Work, and the Will to Lead",£25.02,1
Is Everyone Hanging Out Without Me? (And Other Concerns),£20.11,3
Gone Girl,£37.60,5
Fellside,£38.62,1
Eclipse (Twilight #3),£18.74,1
Dracula,£52.62,3
Dead Wake: The Last Crossing of the Lusitania,£39.24,5
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",£17.81,1
Dark Places,£23.90,5
Breaking Dawn (Twilight #4),£35.28,5
Beautiful Creatures (Caster Chronicles #1),£21.55,5
A Visit from the Goon Squad,£14.08,5
The Zombie Room,£19.69,5
The Name of the Wind (The Kingkiller Chronicle #1),£50.59,3
Taking Shots (Assassins #1),£18.88,2
Shatter Me (Shatter Me #1),£42.40,1
Paradise Lost (Paradise #1),£24.96,1
On the Road (Duluoz Legend),£32.36,3
Jane Eyre,£38.43,5
Frankenstein,£38.00,2
